cell_id,row,col,R_mean_2020,R_std_2020,G_mean_2020,G_std_2020,B_mean_2020,B_std_2020,NDVI_1_mean_2020,NDVI_1_std_2020,NDVI_2_mean_2020,NDVI_2_std_2020,NDVI_3_mean_2020,NDVI_3_std_2020,SWIR_1_mean_2020,SWIR_1_std_2020,SWIR_2_mean_2020,SWIR_2_std_2020,SWIR_3_mean_2020,SWIR_3_std_2020
44,1,4,83.4114990234375,59.17010498046875,91.356201171875,55.296417236328125,69.78839874267578,58.99813079833984,118.5238037109375,97.59483337402344,179.22740173339844,41.95762252807617,0.0,0.0,133.11489868164062,47.93147277832031,241.21229553222656,26.967639923095703,83.90229797363281,59.13984298706055
45,1,5,116.90119934082033,68.88643646240234,115.03299713134766,65.53814697265625,95.9822998046875,67.33370208740234,178.9669952392578,88.35474395751953,196.66510009765625,39.23943328857422,0.0,0.0,160.17430114746094,57.64749526977539,236.70469665527344,30.424196243286133,117.3947982788086,68.8418197631836
46,1,6,128.32330322265625,82.33057403564453,125.97810363769533,82.74347686767578,107.43250274658205,90.9907684326172,162.80870056152344,98.42691040039062,191.9358062744141,41.13496017456055,0.0,0.0,176.0959014892578,63.48556900024414,249.84039306640625,13.139060974121094,128.7427978515625,82.2076644897461
47,1,7,105.52110290527344,47.57648468017578,99.20819854736328,44.73871994018555,77.49620056152344,46.88872909545898,174.4040985107422,82.32115936279297,203.1605987548828,36.206329345703125,0.0,0.0,162.62489318847656,49.4617919921875,242.8907928466797,24.097240447998047,106.02410125732422,47.58602523803711
48,1,8,104.24659729003906,42.28805541992188,103.56680297851562,41.74695587158203,85.88760375976562,44.53824996948242,200.0614013671875,67.19754791259766,207.51559448242188,35.7762451171875,0.0,0.0,150.03289794921875,36.18682861328125,223.65640258789065,38.40581893920898,104.75540161132812,42.30313873291016
49,1,9,79.44670104980469,41.78433990478516,79.6792984008789,32.814701080322266,60.117000579833984,32.63432693481445,155.3209991455078,83.92692565917969,186.5157928466797,39.10631942749024,0.0,0.0,123.74739837646484,35.711219787597656,218.6396942138672,38.6814079284668,79.96540069580078,41.77418518066406
50,1,10,40.36000061035156,30.97481918334961,49.50790023803711,26.607322692871094,32.540401458740234,25.443622589111328,45.22880172729492,61.988128662109375,149.51510620117188,28.946046829223636,0.0,0.0,76.63980102539062,37.05372619628906,241.4528045654297,19.12276077270508,40.85689926147461,30.97481346130371
51,1,11,30.616899490356445,12.043376922607422,39.64030075073242,11.519206047058104,25.87470054626465,11.380597114562988,39.60340118408203,40.63647079467773,147.71530151367188,20.221643447875977,0.0,0.0,53.494998931884766,14.089072227478027,208.45559692382807,25.22886848449707,31.12680053710937,12.046588897705078
52,1,12,25.0088005065918,9.07550048828125,36.35850143432617,9.20751667022705,21.820499420166016,9.077559471130373,18.180400848388672,28.097797393798828,137.0487060546875,13.9924955368042,0.0,0.0,48.58480072021485,10.968491554260254,207.59210205078125,20.352785110473636,25.54019927978516,9.074843406677246
53,1,13,36.597801208496094,33.953590393066406,47.24800109863281,34.45637130737305,34.3931999206543,36.08622741699219,45.53779983520508,63.28955841064453,150.36000061035156,30.58302116394043,0.0,0.0,58.73550033569336,33.01459503173828,204.1280059814453,29.43900489807129,37.1239013671875,33.9549446105957
54,1,14,36.0276985168457,32.303443908691406,45.80070114135742,33.45973205566406,33.7052001953125,34.902198791503906,58.02050018310547,68.27503204345703,156.25250244140625,32.44241714477539,0.0,0.0,53.83269882202149,31.203643798828125,184.64309692382807,34.98591995239258,36.53630065917969,32.30060577392578
55,1,15,59.574798583984375,60.09087371826172,70.72010040283203,61.292667388916016,61.20589828491211,65.89036560058594,94.78230285644533,89.7103271484375,171.2445068359375,39.63766479492188,0.0,0.0,71.39939880371094,51.0417366027832,190.7227020263672,41.3105354309082,60.07720184326172,60.05541610717773
56,1,16,80.17880249023438,70.08161926269531,88.43730163574219,67.71641540527344,76.25379943847656,69.80888366699219,122.66619873046876,99.75069427490234,181.00880432128903,43.53297805786133,0.0,0.0,101.88590240478516,64.85283660888672,217.4624938964844,34.01518630981445,80.68280029296875,70.01840209960938
57,1,17,56.46480178833008,44.58009719848633,68.6146011352539,46.16094970703125,57.42599868774414,50.20906829833984,86.84390258789062,84.29969787597656,170.62249755859375,40.96264266967773,0.0,0.0,83.87550354003906,41.60432052612305,223.3179931640625,35.72276306152344,56.98789978027344,44.57814025878906
58,1,18,25.38610076904297,22.66538429260254,34.65290069580078,15.488938331604004,18.395299911499023,11.359833717346191,20.634700775146484,58.71833801269531,137.4055938720703,26.30771827697754,0.0,0.0,62.31320190429688,36.0099983215332,232.6170959472656,23.74327087402344,25.91080093383789,22.657371520996094
59,1,19,48.803199768066406,43.11228942871094,54.307498931884766,27.23048210144043,29.875099182128903,21.321033477783203,70.54850006103516,103.93588256835938,157.05850219726562,43.0704460144043,0.0,0.0,110.2344970703125,57.562599182128906,243.83740234375,19.416868209838867,49.301300048828125,43.10597229003906
60,1,20,42.2776985168457,31.554283142089844,62.370601654052734,26.16580009460449,34.36050033569336,24.095918655395508,33.04069900512695,61.83625030517578,144.16839599609375,29.90636444091797,0.0,0.0,97.7916030883789,32.61640167236328,254.38319396972656,4.979132175445557,42.798099517822266,31.538854598999023
61,1,21,67.69329833984375,40.427734375,75.1406021118164,21.628236770629883,42.25339889526367,20.22325897216797,94.82559967041016,101.7619171142578,169.07530212402344,42.92667007446289,0.0,0.0,134.97149658203125,42.724700927734375,250.7563934326172,11.601605415344238,68.21160125732422,40.43989562988281
62,1,22,65.91950225830078,56.406497955322266,74.49310302734375,47.55708312988281,48.814701080322266,50.679874420166016,85.94349670410156,99.59181213378906,156.18319702148438,37.82477188110352,0.0,0.0,123.40889739990234,47.95879364013672,246.10910034179688,20.01323127746582,66.41909790039062,56.34486389160156
63,1,23,39.93339920043945,14.37918472290039,57.64459991455078,9.219494819641112,27.461200714111328,7.794042110443115,25.942800521850582,44.68997573852539,140.73890686035156,21.54641342163086,0.0,0.0,108.59729766845705,18.035385131835938,253.22189331054688,8.10275650024414,40.45059967041016,14.36286735534668
64,1,24,25.76259994506836,22.93010711669922,36.44990158081055,18.29100608825684,18.21330070495605,13.097549438476562,21.573699951171875,58.511024475097656,137.99600219726562,26.45931053161621,0.0,0.0,68.24250030517578,40.78087615966797,233.1851959228516,34.42625045776367,26.270700454711918,22.92221450805664
65,1,25,14.159799575805664,3.4175524711608887,24.85110092163086,4.827704429626465,11.363900184631348,2.5470919609069824,0.3564000129699707,4.325896263122559,128.17709350585938,2.159151315689087,0.0,0.0,41.59339904785156,9.67683219909668,216.60240173339844,36.70182037353516,14.668399810791016,3.4210000038146973
