cell_id,row,col,R_mean_diff,R_std_diff,G_mean_diff,G_std_diff,B_mean_diff,B_std_diff,NDVI_1_mean_diff,NDVI_1_std_diff,NDVI_2_mean_diff,NDVI_2_std_diff,NDVI_3_mean_diff,NDVI_3_std_diff,SWIR_1_mean_diff,SWIR_1_std_diff,SWIR_2_mean_diff,SWIR_2_std_diff,SWIR_3_mean_diff,SWIR_3_std_diff
24,0,24,53.49700164794922,48.99677658081055,55.358699798583984,29.870864868164062,31.314599990844727,22.430997848510746,70.59449768066406,92.2982940673828,159.71730041503906,39.79430389404297,0.0,0.0,105.61489868164062,51.041297912597656,241.13980102539065,23.152854919433597,53.98849868774414,48.99649429321289
25,0,25,47.1786994934082,29.27224922180176,55.968299865722656,19.55777740478516,30.12190055847168,15.100902557373049,58.72719955444336,70.20463562011719,156.62510681152344,33.51247024536133,0.0,0.0,112.48780059814452,38.930606842041016,250.07179260253903,12.69731616973877,47.68539810180664,29.29266357421875
26,0,26,65.58989715576172,49.73249816894531,65.61380004882812,29.82074737548828,39.30099868774414,24.878870010375977,93.67849731445312,98.9864730834961,167.18350219726562,39.95896530151367,0.0,0.0,130.11549377441406,54.25066757202149,249.27589416503903,14.22272777557373,66.08779907226562,49.717559814453125
27,0,27,56.36149978637695,51.510623931884766,59.118900299072266,31.92061996459961,33.959598541259766,25.29844284057617,72.16850280761719,96.95488739013672,158.0531005859375,39.364051818847656,0.0,0.0,115.62850189208984,56.25706481933594,249.64280700683597,15.540064811706545,56.8577995300293,51.51993560791016
28,0,28,46.45869827270508,27.05318260192871,53.69720077514648,18.6015625,29.432100296020508,14.975526809692385,62.41999816894531,72.08152770996094,158.33599853515625,34.49344253540039,0.0,0.0,108.2782974243164,36.79558944702149,243.2908935546875,20.941482543945312,46.95660018920898,27.05244255065918
29,0,29,69.13369750976562,32.04265594482422,66.09490203857422,18.10862922668457,38.33039855957031,14.582477569580078,123.62069702148438,89.68671417236328,182.3448944091797,38.15221786499024,0.0,0.0,134.02110290527344,39.69921112060547,237.70779418945312,28.831144332885746,69.64019775390625,32.04293441772461
30,0,30,57.33219909667969,47.37236404418945,56.34109878540039,28.56426429748535,31.76740074157715,21.16050338745117,85.86799621582031,97.82064819335938,167.18600463867188,43.53926849365234,0.0,0.0,120.41190338134766,61.49005508422852,239.31069946289065,24.833614349365234,57.84799957275391,47.36687088012695
31,0,31,62.432498931884766,43.003028869628906,57.977298736572266,28.11878776550293,36.24850082397461,22.65203285217285,119.84549713134766,104.7340850830078,178.83009338378906,44.76625061035156,0.0,0.0,126.59850311279295,58.02993774414063,219.10020446777344,35.89174270629883,62.92509841918945,42.9849739074707
32,0,32,63.707801818847656,40.33115768432617,60.40060043334961,24.76487159729004,37.13719940185547,20.487049102783203,112.72820281982422,97.50775146484376,178.81350708007812,43.61983871459961,0.0,0.0,125.35289764404295,43.89767456054688,233.74989318847656,29.413551330566406,64.18910217285156,40.33241653442383
33,0,33,69.94740295410156,43.45262908935547,62.60710144042969,26.90815734863281,37.585899353027344,19.939916610717773,127.90579986572266,103.53087615966795,184.5052032470703,45.75432586669922,0.0,0.0,130.67039489746094,56.98463821411133,229.0220947265625,33.672950744628906,70.44300079345703,43.45762634277344
34,0,34,60.31629943847656,43.66265869140625,56.12789916992188,25.576631546020508,32.87919998168945,19.01850700378418,101.90570068359376,103.1820831298828,174.86749267578125,46.45397567749024,0.0,0.0,114.53150177001952,58.67946243286133,230.5679931640625,29.180395126342773,60.81869888305664,43.65561676025391
35,0,35,52.7333984375,35.501522064208984,54.10910034179688,24.52116584777832,33.1427001953125,20.79522705078125,107.80670166015624,100.3457260131836,170.9510040283203,45.67544555664063,0.0,0.0,101.70860290527344,50.8395881652832,206.62710571289065,53.26422882080078,53.26279830932617,35.499122619628906
36,0,36,50.17490005493164,34.78266143798828,56.76300048828125,26.507448196411133,38.08150100708008,22.79068374633789,81.91629791259766,85.17538452148438,165.15109252929688,38.13976287841797,0.0,0.0,98.0438995361328,49.59288024902344,218.1468048095703,37.43690872192383,50.68980026245117,34.767478942871094
37,0,37,22.01070022583008,7.637551307678223,34.00619888305664,6.139671325683594,22.75309944152832,3.87965726852417,17.16189956665039,22.648591995239254,136.54139709472656,11.158462524414062,0.0,0.0,44.98270034790039,17.532346725463867,182.26719665527344,22.05377578735352,22.52179908752441,7.62755012512207
38,0,38,22.208499908447266,3.5647757053375244,34.439300537109375,3.85521936416626,23.014799118041992,2.3984954357147217,18.664400100708008,14.714156150817873,137.2989044189453,7.341563701629639,0.0,0.0,46.300201416015625,7.379287242889404,184.01210021972656,21.274099349975582,22.7460994720459,3.5534539222717285
39,0,39,22.93644523620605,4.246876239776611,35.097999572753906,4.47913122177124,22.954444885253903,2.99420428276062,20.365333557128903,18.083984375,138.1473388671875,9.030384063720703,0.0,0.0,49.29222106933594,6.976448059082031,193.79644775390625,29.18037986755371,23.471555709838867,4.23475980758667
40,1,0,114.24629974365234,59.60927581787109,96.3206024169922,31.46630477905273,61.78689956665039,25.83397483825684,156.93719482421875,110.25086975097656,182.5028076171875,39.03193664550781,0.0,0.0,176.4738006591797,68.12386322021484,253.04519653320312,7.386146068572998,114.752197265625,59.61720657348633
41,1,1,104.08209991455078,54.82963562011719,84.30850219726562,28.985328674316406,54.35499954223633,23.06328773498535,158.86839294433594,102.33782958984376,193.04800415039065,41.58281326293945,0.0,0.0,165.41319274902344,58.13922882080078,247.93359375,16.43583869934082,104.57559967041016,54.82575225830078
42,1,2,67.89749908447266,48.374977111816406,65.12049865722656,26.76835823059082,38.99990081787109,20.30180549621582,102.93360137939452,102.44670867919922,166.15460205078125,44.00138473510742,0.0,0.0,114.80329895019533,57.574928283691406,232.61729431152344,56.31948471069336,68.39109802246094,48.382083892822266
43,1,3,47.89350128173828,34.20820617675781,51.38180160522461,21.640457153320312,29.230199813842773,15.48879623413086,71.60050201416016,81.6452407836914,161.99929809570312,39.697547912597656,0.0,0.0,109.31950378417967,54.07477569580078,232.53909301757807,41.401649475097656,48.38190078735352,34.207767486572266
44,1,4,56.16579818725586,27.69647026062012,57.00899887084961,20.10059928894043,35.76319885253906,18.238496780395508,104.04090118408205,83.48543548583984,177.47540283203125,39.19583511352539,0.0,0.0,121.2240982055664,37.43453598022461,221.91799926757807,38.85147857666016,56.67150115966797,27.687898635864254
45,1,5,83.44349670410156,42.30864334106445,75.28240203857422,28.451749801635746,53.03340148925781,24.75379753112793,169.72250366210938,85.81912231445312,197.356201171875,38.25069808959961,0.0,0.0,144.095703125,43.58618927001953,213.04440307617188,41.177616119384766,83.92120361328125,42.30460357666016
46,1,6,100.2645034790039,48.32255172729492,77.49690246582031,25.49599266052246,48.782901763916016,20.351037979125977,169.1363983154297,90.33927154541016,197.47390747070312,35.35873794555664,0.0,0.0,176.20669555664062,53.7680892944336,243.30389404296875,21.127222061157227,100.75340270996094,48.309818267822266
47,1,7,103.2073974609375,53.10601043701172,82.385498046875,28.34943389892578,53.7760009765625,24.215234756469727,170.85220336914062,96.46908569335938,190.3459930419922,35.1949462890625,0.0,0.0,176.2218017578125,57.79331970214844,240.40870666503903,30.23807907104492,103.71510314941406,53.105587005615234
48,1,8,83.668701171875,42.15066146850586,78.118896484375,33.53190994262695,57.77479934692383,34.407737731933594,175.27859497070312,91.66527557373048,192.977294921875,41.227088928222656,0.0,0.0,146.64849853515625,38.54087448120117,208.2738037109375,39.68893814086914,84.17430114746094,42.1425666809082
49,1,9,80.50360107421875,44.95840835571289,75.27860260009766,34.201663970947266,54.43069839477539,34.36415481567383,161.51950073242188,92.43479919433594,185.30960083007807,42.73323822021485,0.0,0.0,142.6063995361328,44.4140510559082,211.88650512695312,42.271297454833984,80.99970245361328,44.933013916015625
50,1,10,34.94260025024414,44.50493621826172,39.88819885253906,27.833776473999023,22.747299194335938,21.73161506652832,37.39899826049805,82.80213165283203,142.62759399414062,33.13629531860352,0.0,0.0,79.47000122070312,59.7603759765625,234.18089294433597,23.04425621032715,35.438201904296875,44.49722290039063
51,1,11,25.076799392700195,10.709057807922363,34.02730178833008,9.199485778808594,19.164600372314453,6.750711441040039,24.99850082397461,31.892770767211918,140.4510955810547,15.88601303100586,0.0,0.0,57.99300003051758,16.31508445739746,198.92140197753903,27.05089569091797,25.57719993591309,10.71515941619873
52,1,12,21.1560001373291,5.229652404785156,31.537900924682617,5.474081039428711,17.533899307250977,3.597867488861084,14.728799819946287,15.786590576171877,135.34039306640625,7.867269039154053,0.0,0.0,46.86289978027344,9.865338325500488,184.30679321289065,19.98277473449707,21.64349937438965,5.231883525848389
53,1,13,22.17919921875,7.873886585235596,31.574800491333008,6.635209560394287,18.13599967956543,5.4546403884887695,23.881799697875977,24.393552780151367,139.87269592285156,12.049220085144045,0.0,0.0,47.54460144042969,9.887972831726074,183.5601043701172,24.860708236694336,22.69409942626953,7.8857927322387695
