cell_id,row,col,min_lon,min_lat,max_lon,max_lat,lat,lon,quadrant,model,split,fold_id,true_delta_builtup,true_delta_water,true_delta_other,pred_delta_builtup,pred_delta_water,pred_delta_other,unc_delta_builtup,unc_delta_water,abs_error_delta_builtup,abs_error_delta_water,true_change_flag,pred_change_flag,confidence_label
29,0,29,11.204686538822791,49.5498517398657,11.213669691663984,49.55567953770728,49.55276563878649,11.209178115243388,NE,Linear Regression,spatial_group_kfold,2,0.08,-0.45,0.37,-0.11361447124409951,0.05933763494535705,0.05427683629874246,0.15010120299620994,0.029142578980918307,0.19361447124409953,0.5093376349453571,0,0,medium
30,0,30,11.213669691663984,49.5498517398657,11.22265284450518,49.55567953770728,49.55276563878649,11.218161268084582,NE,Linear Regression,spatial_group_kfold,1,-0.05,0.0,0.05,-0.9050255860709769,0.03374589800335495,0.871279688067622,0.1722956904381696,0.08031947900420991,0.8550255860709769,0.03374589800335495,0,0,medium
31,0,31,11.22265284450518,49.5498517398657,11.231635997346377,49.55567953770728,49.55276563878649,11.227144420925779,NE,Linear Regression,spatial_group_kfold,1,0.51,0.0,-0.51,0.23053911323037984,0.03125893919758127,-0.2617980524279611,0.09502663355325884,0.025896553827671878,0.27946088676962016,0.03125893919758127,0,0,high
32,0,32,11.231635997346377,49.5498517398657,11.240619150187571,49.55567953770728,49.55276563878649,11.236127573766975,NE,Linear Regression,spatial_group_kfold,1,1.28,0.0,-1.28,-0.0641498175504367,0.0033470076568529504,0.06080280989358374,0.1367302478358163,0.054158666854859074,1.3441498175504367,0.0033470076568529504,1,0,medium
33,0,33,11.240619150187571,49.5498517398657,11.249602303028766,49.55567953770728,49.55276563878649,11.245110726608168,NE,Linear Regression,spatial_group_kfold,1,-0.33,0.0,0.33,-0.6464744437938298,0.09833006151282342,0.5481443822810064,0.18551710526177004,0.06738154035134529,0.3164744437938298,0.09833006151282342,0,0,low
34,0,34,11.249602303028766,49.5498517398657,11.258585455869962,49.55567953770728,49.55276563878649,11.254093879449364,NE,Linear Regression,spatial_group_kfold,1,-0.44,0.0,0.44,-0.6580864688217493,0.018276583373773286,0.639809885447976,0.13865208807623836,0.04550218700167293,0.21808646882174926,0.018276583373773286,0,0,medium
35,0,35,11.258585455869962,49.5498517398657,11.267568608711157,49.55567953770728,49.55276563878649,11.26307703229056,NE,Linear Regression,spatial_group_kfold,1,0.3,0.47,-0.77,0.06537068486797026,0.03696232371488814,-0.1023330085828584,0.21075860622485704,0.03972649100011062,0.23462931513202973,0.4330376762851118,0,0,low
36,0,36,11.267568608711157,49.5498517398657,11.276551761552351,49.55567953770728,49.55276563878649,11.272060185131753,NE,Linear Regression,spatial_group_kfold,1,1.05,2.53,-3.58,-0.1653736617209225,0.10277185757821317,0.06260180414270933,0.17272297672853384,0.023418477092029058,1.2153736617209225,2.4272281424217867,1,0,medium
37,0,37,11.276551761552351,49.5498517398657,11.285534914393548,49.55567953770728,49.55276563878649,11.28104333797295,NE,Linear Regression,spatial_group_kfold,1,0.0,0.0,-0.0,0.11491747970021204,0.020610680605114784,-0.13552816030532683,0.1577171550492637,0.07645698690741559,0.11491747970021204,0.020610680605114784,0,0,medium
38,0,38,11.285534914393548,49.5498517398657,11.294518067234742,49.55567953770728,49.55276563878649,11.290026490814146,NE,Linear Regression,spatial_group_kfold,1,0.0,0.0,-0.0,0.004674960057980071,0.10005056433348118,-0.10472552439146125,0.1350768017629396,0.036177449695992216,0.004674960057980071,0.10005056433348118,0,0,medium
39,0,39,11.294518067234742,49.5498517398657,11.29856048601328,49.55567953770728,49.55276563878649,11.29653927662401,NE,Linear Regression,spatial_group_kfold,1,0.0,0.0,-0.0,-0.1375406015227678,0.14878304693551192,-0.011242445412744106,0.1429203919375749,0.03508896921357585,0.1375406015227678,0.14878304693551192,0,0,medium
40,1,0,10.944175106428128,49.54402324667246,10.953158259269324,49.5498517398657,49.546937493269084,10.948666682848726,NW,Linear Regression,spatial_group_kfold,4,0.0,0.0,-0.0,-1.3407831588888475,0.08030507011146598,1.2604780887773814,0.18106047814994214,0.0886006251170039,1.3407831588888475,0.08030507011146598,0,1,medium
41,1,1,10.953158259269324,49.54402324667246,10.96214141211052,49.5498517398657,49.546937493269084,10.957649835689923,NW,Linear Regression,spatial_group_kfold,4,-0.23,0.0,0.23,-0.39821989373856653,0.05592695667657032,0.3422929370619962,0.19924226679515528,0.061134872014615343,0.16821989373856652,0.05592695667657032,0,0,low
42,1,2,10.96214141211052,49.54402324667246,10.971124564951715,49.5498517398657,49.546937493269084,10.966632988531117,NW,Linear Regression,spatial_group_kfold,4,0.0,-0.5,0.5,-0.275697852162413,-0.0742930470222966,0.3499908991847096,0.28040351760880444,0.06150117268918209,0.275697852162413,0.4257069529777034,0,0,low
43,1,3,10.971124564951715,49.54402324667246,10.98010771779291,49.5498517398657,49.546937493269084,10.975616141372313,NW,Linear Regression,spatial_group_kfold,4,-0.09,-1.77,1.86,0.12426554912259036,0.015514949595862419,-0.13978049871845277,0.1744504254499349,0.02163065485175029,0.21426554912259035,1.7855149495958624,0,0,medium
